id,name,email,salary
1,User 1,user1@gmail.com,15991
2,User 2,user2@gmail.com,14210
3,User 3,user3@gmail.com,11415
4,User 4,user4@gmail.com,9815
5,User 5,user5@gmail.com,11614
6,User 6,user6@gmail.com,13953
7,User 7,user7@gmail.com,16644
8,User 8,user8@gmail.com,14515
9,User 9,user9@gmail.com,8730
10,User 10,user10@gmail.com,7447
11,User 11,user11@gmail.com,7765
12,User 12,user12@gmail.com,14640
13,User 13,user13@gmail.com,19520
14,User 14,user14@gmail.com,16332
15,User 15,user15@gmail.com,15487
16,User 16,user16@gmail.com,17218
17,User 17,user17@gmail.com,13318
18,User 18,user18@gmail.com,17745
19,User 19,user19@gmail.com,11313
20,User 20,user20@gmail.com,10288
