id,name,email,salary,net_salary
1,User 1,user1@gmail.com,15991,14391.9
2,User 2,user2@gmail.com,14210,12789.0
3,User 3,user3@gmail.com,11415,10273.5
4,User 4,user4@gmail.com,9815,8833.5
5,User 5,user5@gmail.com,11614,10452.6
6,User 6,user6@gmail.com,13953,12557.7
7,User 7,user7@gmail.com,16644,14979.6
8,User 8,user8@gmail.com,14515,13063.5
9,User 9,user9@gmail.com,8730,7857.0
10,User 10,user10@gmail.com,7447,6702.3
11,User 11,user11@gmail.com,7765,6988.5
12,User 12,user12@gmail.com,14640,13176.0
13,User 13,user13@gmail.com,19520,17568.0
14,User 14,user14@gmail.com,16332,14698.8
15,User 15,user15@gmail.com,15487,13938.3
16,User 16,user16@gmail.com,17218,15496.2
17,User 17,user17@gmail.com,13318,11986.2
18,User 18,user18@gmail.com,17745,15970.5
19,User 19,user19@gmail.com,11313,10181.7
20,User 20,user20@gmail.com,10288,9259.2
